name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Liam,M,2020,1,19659,1947,253444,Irish|Germanic,en|ga|de,Latin,Liam|William|Wilhelm|Guillermo|Guilherme|Wilhelmus,resolute protector,classic,0.8,"Liam is an Irish and Germanic name meaning resolute protector, a compact form of William with Norman chivalry and modern warmth. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Noah,M,2020,2,18252,1880,433983,Hebrew,en|he,Latin|Hebrew,Noah|Noé|Noach|Noè|Noak|Nuh,rest or repose,timeless,0.9,"Noah is a Hebrew name meaning rest or repose, linking a gentle sound to the flood patriarch and a long Abrahamic tradition. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Oliver,M,2020,3,14147,1880,195251,Latin|French|Germanic,en|la|fr|de,Latin,Oliver|Olivier|Olafur|Oliviero|Óliver|Olivar,olive tree or ancestral warrior,classic,0.7,"Oliver is a Latin, French, and Germanic name meaning olive tree or ancestral warrior, mixing medieval romance with the peaceful symbol of the olive branch. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Elijah,M,2020,4,13034,1880,322278,Hebrew,en|he,Latin|Hebrew,Elijah|Elias|Eliya|Ilya|Elia|Eli,my god is yahweh,timeless,0.9,"Elijah is a Hebrew name meaning my god is yahweh, bearing prophetic depth from the Hebrew Bible and a lyrical vowel-rich sound. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
William,M,2020,5,12541,1880,4159868,Irish|Germanic,en|ga|de,Latin,William|Liam|Wilhelm|Guillermo|Guilherme|Wilhelmus,resolute protector,classic,0.8,"William is an Irish and Germanic name meaning resolute protector, a compact form of William with Norman chivalry and modern warmth. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
James,M,2020,6,12250,1880,5213689,Hebrew|Latin,en|he|la,Latin|Hebrew,James|Jacob|Jakob|Jacques|Jaime|Giacomo,supplanter or holder of the heel,timeless,0.9,"James is a Hebrew and Latin name meaning supplanter or holder of the heel, a royal and apostolic name carried through scripture, monarchy, and literature. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Benjamin,M,2020,7,12136,1880,776278,Hebrew,en|he,Latin|Hebrew,Benjamin|Benjamín|Beniamin|Binyamin|Benoît|Ben,son of the right hand,timeless,0.9,"Benjamin is a Hebrew name meaning son of the right hand, warmly biblical with a scholarly and affectionate feel across many languages. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Lucas,M,2020,8,11281,1881,276879,Greek|Latin,en|el|la,Latin|Greek,Lucas|Luke|Luca|Luka|Lukas|Luc,from lucania,timeless,0.8,"Lucas is a Greek and Latin name meaning from lucania, connected to the evangelist Luke and polished by centuries of European use. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Henry,M,2020,9,10705,1880,715956,Germanic,en|de,Latin,Henry|Henri|Heinrich|Enrique|Harry|Hank,home ruler,classic,0.9,"Henry is a Germanic name meaning home ruler, a royal name with a sturdy domestic meaning and centuries of English use. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Alexander,M,2020,10,10151,1880,699315,Greek,en|el,Latin|Greek,Alexander|Alex|Alejandro|Alessandro|Alexandre|Alexei,defender of men,timeless,0.9,"Alexander is a Greek name meaning defender of men, evoking Alexander the Great, classical ambition, and a heroic international reach. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Mason,M,2020,11,10029,1880,308058,English|Old French,en|fr,Latin,Mason|Maison|Mayson|Masson|Maciun|Macsen,stoneworker,modern,0.3,"Mason is an English and Old French name meaning stoneworker, an occupational surname name with a grounded craft image and crisp contemporary sound. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Michael,M,2020,12,9717,1880,4405274,Hebrew,en|he,Latin|Hebrew,Michael|Mikael|Miguel|Mikhail|Michele|Michał,who is like god,timeless,0.9,"Michael is a Hebrew name meaning who is like god, rooted in the archangel Michael and carried by saints, rulers, and artists. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Ethan,M,2020,13,9464,1882,446752,Hebrew,en|he,Latin|Hebrew,Ethan|Eitan|Etan|Ethen|Aithan|Eytan,strong or enduring,timeless,0.8,"Ethan is a Hebrew name meaning strong or enduring, a concise biblical name with a resilient meaning and a steady masculine tone. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Daniel,M,2020,14,9419,1880,1947282,Hebrew,en|he,Latin|Hebrew,Daniel|Danielle|Daniela|Daniella|Danna|Dániel,god is my judge,timeless,0.9,"Daniel is a Hebrew name meaning god is my judge, a scriptural name with courtly poise and broad Jewish, Christian, and global use. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
