name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Olivia,F,2020,1,17535,1880,489456,Latin|English,en|la,Latin,Olivia|Alivia|Olyvia|Olívia|Olivija|Oliwia,from the olive tree,classic,0.6,"Olivia is a Latin and English name meaning from the olive tree, made famous by Shakespeare and softened by the natural imagery of olive leaves. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Emma,F,2020,2,15581,1880,707552,Germanic,en|de,Latin,Emma|Emmy|Emme|Irma|Erma|Emmaline,whole or universal,classic,0.8,"Emma is a Germanic name meaning whole or universal, a medieval Germanic name revived with literary sweetness and enduring simplicity. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Ava,F,2020,3,13084,1880,293852,Germanic|Latin|Hebrew,en|de|la|he,Latin|Hebrew,Ava|Eva|Eve|Avia|Avis|Aveline,bird or life,classic,0.7,"Ava is a Germanic, Latin, and Hebrew name meaning bird or life, a brief name with layered medieval, Latin, and biblical possibilities. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Charlotte,F,2020,4,13003,1880,388932,Germanic|French,en|de|fr,Latin,Charlotte|Caroline|Carolina|Carlotta|Charlotta|Lottie,free woman,classic,0.9,"Charlotte is a Germanic and French name meaning free woman, a royal feminine Charles form with elegant European polish. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Sophia,F,2020,5,12976,1880,377481,Greek,en|el,Latin|Greek,Sophia|Sofia|Sophie|Sofie|Sofiya|Zofia,wisdom,timeless,0.9,"Sophia is a Greek name meaning wisdom, a philosophical Greek name revered through saints, churches, and global tradition. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Amelia,F,2020,6,12704,1880,217761,Germanic|Latin,en|de|la,Latin,Amelia|Amalia|Amelie|Amélie|Emilia|Mia,work or rival,classic,0.7,"Amelia is a Germanic and Latin name meaning work or rival, a name family blending industrious Germanic roots with graceful Latin forms. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Isabella,F,2020,7,12066,1880,361449,Hebrew|Spanish|Italian,en|he|es|it,Latin|Hebrew,Isabella|Isabelle|Isabel|Bella|Izabella|Isobel,my god is an oath,timeless,0.8,"Isabella is a Hebrew, Spanish, and Italian name meaning my god is an oath, a royal Elizabeth form with romantic Romance-language elegance. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Mia,F,2020,8,11157,1933,253293,Hebrew|Latin|Italian,en|he|la|it,Latin|Hebrew,Mia|Maria|Maya|Maja|Miya|Mimi,beloved or bitter,classic,0.6,"Mia is a Hebrew, Latin, and Italian name meaning beloved or bitter, a short international name often linked to Maria and tender affection. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Evelyn,F,2020,9,9445,1880,595215,English|Germanic,en|de,Latin,Evelyn|Evelynn|Eveleen|Aveline|Evelina|Evie,desired or little bird,classic,0.7,"Evelyn is an English and Germanic name meaning desired or little bird, a vintage surname-given name with soft vowels and graceful revival appeal. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Harper,F,2020,10,8778,1881,106394,English,en,Latin,Harper|Harpur|Harpa|Harp|Harpie,harp player,modern,0.3,"Harper is an English name meaning harp player, an occupational surname name with musical imagery and literary modern appeal. In contemporary English use it reads contemporary and energetic, shaped by recent naming patterns, surnames, places, and streamlined spellings."
Camila,F,2020,11,8096,1914,85976,Latin|Spanish|Italian,en|la|es|it,Latin,Camila|Camilla|Kamila|Camille|Kamilla|Mila,young ceremonial attendant,classic,0.7,"Camila is a Latin, Spanish, and Italian name meaning young ceremonial attendant, a Roman-rooted name with graceful Romance and literary associations. In contemporary English use it reads established and polished, with a traditional cadence that remains familiar across generations."
Gianna,F,2020,12,7826,1951,78422,Hebrew|Latin,en|he|la,Latin|Hebrew,Gianna|Joanna|Johanna|Joanne|Joan|Jane,god is gracious,timeless,0.8,"Gianna is a Hebrew and Latin name meaning god is gracious, a feminine John-family name with biblical and saintly reach. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
Abigail,F,2020,13,7817,1880,384086,Hebrew,en|he,Latin|Hebrew,Abigail|Abigale|Abigayle|Abigaíl|Avigail|Gail,my father is joy,timeless,0.9,"Abigail is a Hebrew name meaning my father is joy, a biblical name of intelligence and diplomacy with warm nickname possibilities. In contemporary English use it reads enduring and cross-cultural, rooted in scripture, antiquity, or centuries of steady use."
